state,earlier_count,later_count,count_change,percent_change,transition
IL,560,576,16,0.02857142857142857,2024_to_2025
IN,406,436,30,0.07389162561576355,2024_to_2025
KS,135,156,21,0.15555555555555556,2024_to_2025
KY,437,453,16,0.036613272311212815,2024_to_2025
LA,157,185,28,0.17834394904458598,2024_to_2025
MA,343,372,29,0.08454810495626822,2024_to_2025
MD,427,503,76,0.17798594847775176,2024_to_2025
ME,117,151,34,0.2905982905982906,2024_to_2025
MI,366,407,41,0.11202185792349727,2024_to_2025
MN,332,363,31,0.09337349397590361,2024_to_2025
MO,227,262,35,0.15418502202643172,2024_to_2025
MS,82,98,16,0.1951219512195122,2024_to_2025
MT,68,72,4,0.058823529411764705,2024_to_2025
NC,451,481,30,0.06651884700665188,2024_to_2025
ND,61,68,7,0.11475409836065574,2024_to_2025
NE,99,129,30,0.30303030303030304,2024_to_2025
NH,88,83,-5,-0.056818181818181816,2024_to_2025
NJ,331,357,26,0.07854984894259819,2024_to_2025
NM,141,133,-8,-0.05673758865248227,2024_to_2025
NV,83,97,14,0.1686746987951807,2024_to_2025
NY,629,644,15,0.02384737678855326,2024_to_2025
OH,474,516,42,0.08860759493670886,2024_to_2025
OK,139,141,2,0.014388489208633094,2024_to_2025
OR,187,198,11,0.058823529411764705,2024_to_2025
PA,479,524,45,0.09394572025052192,2024_to_2025
RI,53,50,-3,-0.05660377358490566,2024_to_2025
SC,92,97,5,0.05434782608695652,2024_to_2025
SD,37,42,5,0.13513513513513514,2024_to_2025
TN,270,334,64,0.23703703703703705,2024_to_2025
TX,412,453,41,0.09951456310679611,2024_to_2025
UT,258,278,20,0.07751937984496124,2024_to_2025
VA,181,283,102,0.56353591160221,2024_to_2025
VT,49,52,3,0.061224489795918366,2024_to_2025
WA,303,269,-34,-0.11221122112211221,2024_to_2025
WI,203,205,2,0.009852216748768473,2024_to_2025
WV,74,136,62,0.8378378378378378,2024_to_2025
WY,46,52,6,0.13043478260869565,2024_to_2025
