transition,earlier_directory_year,later_directory_year,earlier_survey_year,later_survey_year,earlier_count,later_count,national_percent_change,state_count_correlation,median_state_percent_change,later_strict_match_share,earlier_strict_match_share,later_name_zip_match_share,earlier_name_zip_match_share
2019_to_2020,2019,2020,2018,2019,13313,14069,0.056786599564335516,0.9928443190034674,0.038461538461538464,0.7566575500215921,0.7990117825921703,0.7977544263710954,0.8388445458000761
2020_to_2021,2020,2021,2019,2020,14069,14189,0.008529390859336239,0.9972156639064669,0.02097902097902098,0.7941071555967754,0.8017849431409242,0.8314189912249411,0.8372678854181661
2021_to_2022,2021,2022,2020,2021,14189,12114,-0.14624004510536326,0.9987120207297133,-0.1446700507614213,0.548834903321765,0.47142755225797245,0.8250784216608882,0.7186987229792395
2022_to_2023,2022,2023,2021,2022,12114,12677,0.046475152715866,0.9936784329241934,0.05922551252847381,0.6927206695089215,0.727483060651132,0.7261181667586969,0.7606075614990919
2023_to_2024,2023,2024,2022,2023,12677,12146,-0.041886881754358285,0.992984837167278,-0.043227665706051875,0.7648768809849521,0.7054318648349913,0.7962292112629672,0.7598012147984539
2024_to_2025,2024,2025,2023,2024,12146,13404,0.10357319282068178,0.9927659708961099,0.09337349397590361,0.6632079887657981,0.7174247606019152,0.7034467323187108,0.7706240737691421
