directory_year,survey_year,source_format,all_listings,headline_us_listings,territory_listings,missing_name_share,missing_address_share,missing_zip_share,warning_share,mean_service_codes,median_service_codes,nonprofit_share,forprofit_share,government_share,otp_share,outpatient_share,residential_share,hospital_share,medicaid_share,medicare_share,private_insurance_share
2019,2018,historical_pdf,13425,13313,112,0.01186809885074739,0.0004506872981296477,0.0,0.04980094644332607,61.78577330428904,61.0,0.5152106963118757,0.3839855780064598,0.09344249981221363,0.11282205363178847,0.832344325095771,0.22797265830391347,0.049350259145196425,0.6676181176293848,0.35499136182678587,0.7212499061068129
2020,2019,historical_pdf,14169,14069,100,0.012438695003198521,0.0004975478001279409,0.0,0.04996801478427749,69.93403937735447,68.0,0.5068590518160495,0.39690098798777457,0.08920321273722369,0.11500462008671547,0.8210249484682636,0.2324259009169095,0.05167389295614472,0.6951453550358945,0.3679010590660317,0.741417300447793
2021,2020,historical_pdf,14280,14189,91,0.01212206638945662,0.00042286278102755657,0.0,0.050602579462964266,72.24540136725632,71.0,0.49876665022200295,0.40848544647261964,0.08612305306927902,0.1177672845161745,0.82260906335894,0.23673268024526042,0.05180069067587568,0.7206991331312989,0.41616745366128693,0.7532595672704208
2022,2021,official_xlsx,12176,12114,62,0.0,0.0,0.0,0.0,75.38104672280006,74.0,0.5113917781079742,0.4015189037477299,0.08568598315998019,0.12341092950305432,0.81954763084035,0.23460458973088988,0.052336140003301966,0.744510483737824,0.44947994056463597,0.755489516262176
2023,2022,official_xlsx,12744,12677,67,0.0,0.0,0.0,0.0,76.20430701270017,76.0,0.4923089058925613,0.41973653072493494,0.08724461623412479,0.12345192080145145,0.8258262995976966,0.23775341169046305,0.06381636033761931,0.7478109962924983,0.45728484657253293,0.7532539244300702
2024,2023,official_xlsx,12200,12146,54,0.0,0.0,0.0,0.0,80.01169109171744,80.0,0.4902848674460728,0.4261485262637906,0.08060266754487073,0.12012185081508316,0.8376420220648774,0.2376914210439651,0.06199571875514573,0.7773752675778034,0.48575662769636097,0.7782809155277458
2025,2024,official_xlsx,13460,13404,56,0.0,0.04148015517755894,0.0,0.04148015517755894,81.90778871978515,82.0,0.4867203819755297,0.424276335422262,0.08609370337212773,0.11824828409430022,0.8369889585198448,0.2349298716800955,0.06796478663085646,0.7955088033422859,0.531706953148314,0.7965532676812892
